prompt,completion
I think I can.,toki mi la mi ken.
I waited and waited.,mi awen mute.
Tom milked the cow.,jan Ton li kama jo e telo walo tan soweli mani.
"I'm from Wellington, the capital of New Zealand.",mi tan ijo Welinton. ni li ma tomo lawa pi ma Nusilan.
You look Japanese.,sina lukin sama jan pi ma Nijon.
I've never been to Paris.,"tenpo ala la, mi tawa ma tomo Paki."
Everybody knows I don't like Tom.,jan ale li sona e ni: jan Ton li ike tawa mi.
jan ala li pona tawa mi.,I don't like anybody.
mi mute li wile lukin e ona.,We want to see it.
The apple and the rose are from the same family.,kili loje en kasi loje li lon kulupu mama sama.
My sister became a college student.,meli sama mi li kama jan pi kama sona lon tomo sona sewi.
jan ante li pona ala tawa soweli mi.,My dog doesn't like strangers.
What am I?,mi seme?
mama sina li mije ala li meli ala la nimi ona li seme?,What would you call your non-binary parent?
mi wile ala e ni: jan ante li kama sona e lon.,I don't want the truth to come out.
ken la jan anu ijo li wawa ala.,There were risks.
I'd be interested to know what Tom's opinion is.,mi wile sona e pilin pi jan Ton.
It rained yesterday.,tenpo suno pini la telo li kama tan sewi.
meli ni li moli lon sinpin pi tenpo pimeja pini.,She died yesterday afternoon.
kama sona sina li kama seme?,How are you getting along with your study?
"tenpo pini la, jan Sami li pali e ijo jaki mute.",Sami used to do really nasty things.
nasin ni pi noka suli li suli ala.,That bridge isn't long.
The movie wasn't as funny as the book.,sitelen tawa li musi lili. lipu li musi mute.
meli mute sin li lon seme?,Where are the other girls?
That lift makes a lot of noise.,ilo ni pi sewi jan li pali e kalama wawa.
seme li lon insa pi poki ni?,What is in the box?
I cannot forget you.,mi ken ala e ni: mi weka e sina tan lawa mi.
jan Ton li jan poka.,Tom is a neighbor.
ona li nasa ala.,He isn't crazy.
ona li pona lukin.,She's beautiful.
toki pona li toki pona.,Toki Pona is a good language.
ona tu li uta e ona sama.,They kissed again.
Cookie is always hungry.,tenpo ali la soweli Kuki li wile moku.
mije sama mi li pana e suno tawa kiwen walo.,My brother polished the silver.
jan li toki e ni: utala li pini lon tenpo kama poka.,It is said that the war will end soon.
Married people need a home of their own.,mije en meli li kama wan la ona li wile e tomo.
mi jan pi nasin sewi.,I'm a believer.
Tom and Mary hate John.,jan San li ike tawa jan Ton en jan Mewi.
"ma tomo li jo e mani mute la, ma tomo li pana e jaki mute.","The richer the city, the more rubbish it generates."
He's coming to my country.,ona li kama tawa ma mi.
Does anyone have any other questions?,wile sona sin li lon ala lon?
nasin sewi pi jan Papa li lawa ala e mi.,I'm not Catholic.
tenpo pini wan la sina moku ala moku e ko walo namako pi telo wawa?,Have you ever tried chugging coffee creamer?
I think Tom's leg is broken.,mi pilin e ni: noka pi jan Ton li pakala.
ona li jan sin.,He's a newcomer.
I ate Japanese food for the first time.,mi moku e moku pi ma Nijon lon tenpo nanpa wan.
sina tawa weka lon tenpo seme?,What time are you leaving?
jan Ton li sama jan lili tawa jan Mewi.,Tom was like a son to Mary.
Please pack these clothes in a suitcase.,o pana e len ni lon poki len.
Did you see my sister?,sina lukin ala lukin e meli sama mi?
Tom decided to become a vegan.,jan Ton li wile moku e kasi e kili taso.
My sister isn't studying now.,meli sama mi li kama sona ala lon tenpo ni.
What was in the box?,seme li lon poki?
tenpo ni la jan Ton en jan Mewi li awen lon ma tomo Pasen.,Tom and Mary are currently living in Boston.
A square has four sides.,poka tu tu li jo e poka tu tu.
sina kama anpa lon utala anu seme?,Did you lose?
I'm not dead.,mi moli ala.
"We are only people, not gods.",mi mute li jan taso. mi mute li ala e jan sewi.
musi pi mije lawa ma la mi poki e meli lawa pi jan Ton kepeken soweli tawa.,I captured Tom's queen with my knight.
I have to call Tom.,mi wile toki tawa jan Ton kepeken ilo toki.
I don't want to mess around.,mi wile pakala ala.
I like to fish in the river.,mi alasa e kala lon nasin telo. ni li pona tawa mi.
Have you been having fun?,sina jo e tenpo musi anu seme?
This restaurant is located on the riverbed.,tomo moku ni li lon poka pi telo tawa.
nasin ni la ona li alasa e soweli pi kute suli li moli ala e ni.,This is how they hunt elephants alive.
ona li jan pi wawa nasa suli.,He is a mighty sorcerer.
Do you speak French?,sina toki lon toki Kanse anu seme?
lipu li seli pona.,Paper burns easily.
pali pi tomo ni li lon tenpo mute mute.,It took several years to build it.
jan Ton li anpa.,Tom is humble.
ona li suno mute.,It's very bright.
The moon circles the earth.,mun li tawa lon sike lon poka pi sike ma.
I want to go to Italy.,mi wile tawa ma Italija.
ona meli li wile e jan lili. taso ona mije li wile ala.,"She wants children, but he doesn't."
We haven't yet done the work.,tenpo pini la mi kama ala pini e pali.
tomo ona li lon ma tomo Tokijo.,He is living in Tokyo.
ken la ona li kama.,She may come.
soweli tomo mi li pali e sitelen ni.,That was my cat typing.
mi awen lukin kama jo e lipu. mi kama jo e ona.,I found the book I was looking for.
No one knows how those who were born feel.,jan ala li sona e pilin pi jan pi open lon.
He said he'd help me.,ona li toki e ni: ona li pana e pona tawa mi.
Japan is at peace with her neighbors.,ma Nijon li utala ala e ma poka ona.
Sami is such a good guy.,jan Sami li jan pona a.
mi wile e ni: mi ken pali e ni lon tenpo sin.,I wish we could do that again.
He said he needed money.,ona li toki e ni: ona li wile e mani.
I like that purple shirt.,len laso loje ni li pona tawa mi.
Smiles do not always indicate pleasure.,jan li musi uta. taso ken la ona li pilin ike.
jan Ton li wile ala moku.,Tom wasn't hungry.
jan li pali e ilo musi ni kepeken kasi.,That toy is made of wood.
sina ken ala ken pana e pona?,Can you help?
tenpo pi sike ale nanpa luka luka luka tu tu la ma Kanse li jo e ma ni pi insa telo.,This island belonged to France in the 19th century.
ma Kanse li pona mute tawa mi.,I love France.
jan Ton li lape ala tan seme?,Why isn't Tom asleep?
I appreciate your family.,mi olin e kulupu mama sina.
Tom has a question.,jan Ton li wile sona.
Vilnius is the capital of Lithuania.,ijo Winijusi li ma tomo lawa pi ma Lijatuwa.
ijo Jelusaleme li ma tomo lawa pi ma Isale.,Jerusalem is the capital of Israel.
telo li tawa.,The water is flowing.
ala. mi pilin e ni: ni li ken: linja ni pi nena kiwen li pini.,"On the contrary, I think it may turn out that this rugged mountain range trails off at some point."
sina en mi li tawa li lukin e sitelen tawa. ni li pona ala pona tawa sina?,Would you like to go see a movie with me?
"jan li pona tawa mi li ike tawa mi. ken la wile sona sina li ""tan seme?"". mi sona ala. taso mi pilin e ni: ona li kama li pakala akesi tawa mi.","I hate and I love. Why would I do this, maybe you're asking? I don't know, but I feel it happening and am tortured."
mi lukin e sitelen tawa pi tenpo pini.,I am watching an old film.
jan Ton li sona ala kin e ni: jan Mewi li tawa weka.,Tom didn't even know Mary had left.
jan Sami li unpa e meli.,Sami has sex with girls.
telo li lete ala.,The water is not cold.
How do you see the market today?,pilin esun sina li seme?
The soldiers guarded the bridge.,jan utala li awen lukin e nasin pi noka suli.
Beautiful!,pona lukin a!
tenpo suno ni li sewi tawa mi.,Today is a holy day for us.
Tom is suffering.,jan Ton li pilin ike.
jan Sonja li pilin ike tan seme?,Why does Sonja feel bad?
"Life is short, you have to enjoy it!",ale li lili. o olin e ona a!
I sense that Tom is hiding something.,mi pilin e ni: jan Ton li len e ijo.
Religion is the outcome of human weakness or the limitation of human knowledge.,"jan li wawa lili li sona lili, la nasin sewi li kama lon ale."
mi len e mi.,I'm hiding.
School begins tomorrow.,tomo sona li open lon tenpo suno kama.
pakala ni li kama tan ni: ona li lukin ala.,This mistake is due to his carelessness.
Who gave you all that money?,jan seme li pana e mani ale ni tawa sina?
It may freeze next week.,ken la lete li kama lon sike esun kama.
Should I do that?,mi o pali e ni anu seme?
This towel has a nasty smell.,len luka ni li kon ike.
ona li toki lon toki pi ma mute.,She speaks the languages of many countries.
meli lawa ma pi sitelen pilin li mama pi meli lili pi wan taso. mije tu wan li olin e ona li wile e olin ona.,The Queen of Hearts' only daughter is loved by exactly three suitors.
mi kin li wile kama sona e ni.,I would like to know as well.
Does the color really matter?,kule li suli ala suli kin?
jan Ton li sona e ni: jan Mewi li wile ala tawa weka.,Tom knew Mary wouldn't want to go.
mi wile awen ala lukin e lipu pi ijo sin.,I need to stop reading the news.
"You're available, aren't you?",sina ken lon anu seme?
pilin mi la sina sona e wile mi.,I think you know what I want.
jan Mewi li pilin e ni: mi olin e ona.,Mary thinks I'm in love with her.
"If they see us talking to each other, we could get in a lot of trouble.",ona li lukin e toki pi mi mute la ike suli li ken kama lon mi.
Your soul belongs to me.,mi jo e kon sina.
It doesn't have any significance.,ni li suli ala.
telo li lete ala lete?,Is the water cold?
You'll lose time.,sina weka e tenpo.
Tom knew that the story wasn't true.,jan Ton li sona e ni: toki ni li lon ala.
mi lawa e tomo tawa.,I drive.
ilo toki pi jan Ton li sin.,Tom's phone is new.
o weka e ike mi.,Excuse me.
Everything is going to be different now.,ali li kama ante.
mi anpa mute.,I'm very humble.
"If Ivanka weren't my daughter, perhaps I'd be dating her.",jan Iwanka li jan lili meli mi ala la ken la mi jan olin ona.
ma mute li weka e nasin pi moli jan.,Many countries have abolished capital punishment.
sina ken ala awen e mi lon sewi ike ni.,You can't leave me hanging like that!
He married a fellow immigrant.,ona en jan ma sin sama li kama kulupu mama sin.
tomo tawa kon li tawa wawa tawa sewi.,The airplane climbed sharply.
Why is she angry?,tan seme la meli ni li pilin utala?
He always forgets his money.,tenpo ale la ona li pilin ala e mani ona.
Can you sing a song for everyone?,sina ken ala ken kalama musi uta tawa jan ali?
Use your weapons.,o pali e ilo utala sina.
He is the father of two children.,ona li mama mije pi jan lili tu.
My sister irons my pants.,meli sama mi li pona e selo pi len noka mi kepeken ilo kiwen seli.
"ona li ken toki pona lon toki Kanse. ken la, ona li kama sona lon ma Kanse.","Seeing as she can speak French fluently, she may have studied in France."
Let's get some coffee.,mi mute o moku e telo wawa pimeja.
o tawa sewi.,Go to the top!
jan Jani li jan pi wan taso ni: ona li toki tawa sewi lon tomo pi toki sewi.,Yanni was the only one to have prayed in the mosque that day.
Sami has a new truck.,jan Sami li jo e tomo tawa sin.
Tom is in his car waiting for Mary.,jan Ton li lon tomo tawa ona li awen lon weka pi jan Mewi.
jan Mewi li meli nanpa wan pi jan Ton.,Mary was Tom's first wife.
o pana e pona tawa ma.,Love the earth.
mi ken ala kama lon sina lon tenpo ni.,I can't see you now.
mi lon tomo pimeja.,We're in an unlit room.
Someone has been in my room.,tenpo pini poka la jan li lon tomo mi.
jan ala li lon tomo.,No one is in the room.
"He's intelligent, but lazy.",mije ni li jo e lawa wawa. taso pali li ike tawa ona.
"sina lon ma ni la, o open ala e lipu ni.",Don't open this letter until you're out of the country.
o weka a!,Beat it.
Horses are very sensitive animals.,soweli tawa li soweli pi pilin mute.
ona li meli tan ma Sonko.,She's Chinese.
That's a secret I can't tell you.,ni li sona len ni: mi ken ala toki e ona tawa sina.
ijo Pusimo li nasin sewi anu sona pi kon ale?,Is Buddhism a religion or a philosophy?
sina pana e ona tawa mi.,You gave it to us.
Tom wants to fight.,jan Ton li wile utala.
The food has gone cold.,moku li kama lete.
"It's not books that create wisdom, but wisdom that creates books.",lipu li pali ala e sona. sona li pali e lipu.
"You could have killed me, but you didn't.","sina ken moli e mi. taso, sina ala."
I thought I was losing my mind.,mi pilin e ni: mi kama nasa.
sina ken ala ken kepeken e toki Losi?,Do you speak Russian?
mi sona ala e ni: jan Mewi li pona ala tawa jan Ton.,I didn't know Tom didn't like Mary.
Tom wanted to be different.,jan Ton li wile ante.
I'm sorry if my words hurt you.,mi pilin ike lon ni: nimi mi li pakala e pilin sina.
Pure water is necessary to our daily life.,tenpo suno ale la mi ale li wile e telo pona.
They're kids.,ona li jan lili.
jan Ton li wile sona e ijo pi pali sin mi.,Tom asked me about my new job.
That's tea.,ni li telo kasi seli.
mi pilin e ni: ken suli la tomo tawa li pona tawa jan Ton.,I think that Tom will likely like this movie.
soweli tomo li pona.,The cat is good.
I caught more fish than Tom did.,mi alasa e kala mute. jan Ton li alasa e kala lili.
I am sick.,sijelo mi li ike.
Pray for Paris.,o toki tawa sewi tan ma tomo Paki.
Let's finish this.,mi mute o pini e ni.
He's very intelligent.,ona li sona mute.
Tom likes to dunk his biscuit in his coffee.,jan Tan li pana e pan sike ona tawa telo pimeja ona. ni li pona tawa ona.
o pini e oko. sina kute e seme?,Close your eyes and tell me what you hear.
sijelo sina li ike!,You're sick!
tenpo pi kasi kule li open lon tenpo seme?,When does spring begin?
Is Tom tall?,jan Ton li suli ala suli?
o kipisi ala. mi pini ala li wile toki tawa sina.,Don't hang up; I haven't finished talking to you.
No book is worth reading.,jan li wile kin lukin e lipu seme? lipu ala.
utala ala li suli mute.,Peace is of great importance.
tenpo ala la o toki e ni tawa jan.,Never tell anyone.
Go get my hat!,o tawa o pana e len lawa mi a!
I've done a lot.,mi pali e mute.
jan Ton li pali lon esun Mikitona.,Tom works at McDonald's.
tenpo ala la mi pilin e ni: mi lukin sin e sinpin lawa sina.,I never thought I'd see your face again.
What have you got there?,sina jo e seme?
ona li jan Mewika ala. Taso ona li olin e ma Mewika.,"He is not an American, but he loves America."
sina pali e ni tan seme?,Why are you doing it?
jan Emili li tawa tomo sona.,Emily goes to school.
I don't want to be seen with him.,mi wile ala e ni: jan li lukin e mi poka ona.
Tom only speaks French at home.,jan Ton li lon tomo ona la ona li kepeken e toki Kanse taso.
She promised me she'd come.,ona li toki wawa e ni tawa mi: ona li kama.
ona li nasa.,She's crazy.
kulupu mute la mije en meli li kepeken len ante.,"In many cultures, men and women dress differently."
He was born in a small village in Algeria.,ona li kama lon ma tomo lili lon ma Sasali.
I don't want the money now.,mi wile ala e mani lon tenpo ni.
sina ken ala ken alasa?,Do you know how to hunt?
mi olin e toki pona.,I love Toki Pona.
mi pilin e ni: jan Ton li sona e tan.,I think Tom knows why.
He always studies hard.,tenpo ale la ona li kama sona mute.
Tom doesn't want to go to work.,jan Ton li wile ala tawa pali.
"Red, yellow, and blue are colors.",loje en jelo en laso li kule.
ma tomo Pasen li lon seme?,Where's Boston?
The elephant was brought to the zoo.,jan li pana e soweli suli lon ma soweli.
moku Sonko li pona tawa mi.,I like Chinese food.
"No, I don't understand.",ala. mi sona ala.
kulupu la mi wawa.,"In a group, we are strong."
You must not say it.,o sina wile ala toki e ni.
jan Ton li tawa musi.,Tom danced.
ala?,No?
We're both crazy.,mi tu li nasa.
I want to sleep! Rather than live I want to sleep!,mi wile lape a! ken la mi moli. taso mi wile kin lape.
The passengers are boarding the train.,jan li kama lon tomo tawa linja.
We walked for a long time.,mi tawa kepeken noka lon tenpo suli.
jan Toni li lon lupa.,Tony stood at the door.
telo li pona.,The water is good.
ona li kama sin la o toki e ni tawa ona.,"Tell him so, when he comes back."
I'll never lie to you.,tenpo ala la mi toki e ijo pi lon ala tawa sina.
I understand the reason.,mi kama sona e wile.
"Can I borrow your socks? ""No.""","mi ken ala ken jo lili e len noka sina? - ""ala."""
Hit me.,o luka kiwen e mi.
I hope I can be of some help to you.,wile la mi ken pana e pona tawa sina.
Take your hands off my neck.,o weka e luka sina tan anpa lawa mi.
sina jo ala e ilo open anu seme?,"You don't have a key, do you?"
The hotel is at the end of the street.,tomo lape pi jan tawa li lon pini nasin.
Bats scare me.,mi pilin ike tan soweli waso.
"Good morning, baby! Did you sleep well?",olin mi o! sina lape ala lape pona?
We locked all the windows.,mi selo wawa e lupa suno ale.
mi lukin ala e ilo mi pi awen mani.,I have lost my wallet.
ona li ken toki kepeken toki tu wan.,She can speak three languages.
jan Ton li weka e lipu wawa ona pi jan tawa.,Tom lost his passport.
jan Ton li tawa e luka ona tawa nasin pi nena suli.,Tom pointed towards the mountain.
"Tom is telling the truth, isn't he?",jan Ton li toki lon anu seme?
jan Ton li wile ala e sina.,Tom doesn't want you.
tenpo sike pini la sina lon ma seme?,Where did you live last year?
I can do it.,mi ken pali e ona.
ma Nijon li lon ma Asija.,Japan is situated in Asia.
sina kepeken e tenpo mute tan seme?,What took you so long?
ni li lete.,This is cold.
kili ma ni la kili wan li jaki a.,One of these potatoes was definitely bad.
Where's my shirt?,len mi li lon seme?
ona li toki e ni tawa mije ona: ona mute li utala lon tenpo pimeja kama ni.,He told his men they would attack the next night.
mi wile sona e wile sina.,I need to know your intentions.
The previous sentence is true.,linja nimi pi tenpo pini poka li lon.
Father comes home from work about nine in the evening.,mama li tawa tomo tan tomo pali lon tenpo suli nanpa luka tu tu pi tenpo pimeja.
We're giving up.,mi mute li pini.
Does that suit you?,ni li pona ala pona tawa sina?
There might be more butter in the refrigerator.,ken la ko jelo sin li lon poki lete.
What are their names?,nimi pi ona mute li seme?
jan Ton li ken pakala e ala kin.,Tom is completely harmless.
These cars are ours.,tomo tawa ni li mi.
Do you find me pretty?,mi pona lukin tawa sina anu seme?
mi kama tan ma Elopa.,I come from Europe.
Your enemies are just an illusion.,sina pilin e ni: jan ike mi li lon. taso ona li lon ala kin.
ona mute li jan pona.,They're nice people.
sina mama ala mama?,Are you a parent?
I've never tried Chinese food.,tenpo ala la mi lukin moku e moku pi ma Sonko.
You are my father.,sina mama mije mi.
mije sama tu pi mije ni li jan pi pana sona.,Both his brothers are teachers.
mi wile kama sona e toki Nijon.,I want to learn Japanese.
This is where it all began.,ona li open lon ni.
I really like what he wrote.,sitelen ona li pona mute tawa mi.
mije ni li pali lon sinpin pi tenpo pimeja pini.,He was busy yesterday afternoon.
Can you explain the way to me?,o toki e nasin tawa mi!
ilo sona li ijo pi tenpo lili.,The computer is a recent invention.
mi wile pali e ijo la mi ken kin pali e ona.,I'm as free as a bird.
mi kama tan ma Pasila.,I'm from Brazil.
Where did Tom take his gloves off?,"jan Ton li weka e ilo luka ona, lon seme?"
mi pona.,I'm fine.
"After having anal sex with my girlfriend, we usually need to have a good wash.",mi unpa monsi e jan olin mi. tenpo kama lili ni la mi en ona li telo mute e mi e ona.
We're closed today.,tenpo suno ni la esun ni li open ala.
I don't have anybody.,mi jo e jan ala.
We did that very well.,mi mute li pali e ni kepeken nasin pona mute.
You need to eat more vegetables.,sina wile moku e kili sin.
My brain's checked out.,lawa mi li weka.
Do you want to kiss me?,sina wile ala wile uta e mi?
ilo ni li ike.,That machine is bad.
tomo lipu li open lon tenpo ni li pini lon tenpo nanpa luka tu tu.,The library is open until nine.
poki li jaki.,The plate is dirty.
I understood. I don't need a translation.,mi sona. mi wile ala e toki ante.
The only good fascist is a dead fascist.,jan pi nasin wan tan pakala wawa li pona pi nasin ni taso: ona li moli.
Riga is the capital of Latvia.,ijo Lika li ma tomo lawa pi ma Lawi.
"tenpo pini la, kulupu mama Panjon li jo e mani mute.",The Van Horn family was rich.
You bit the hand that fed you.,luka li pana e moku tawa sina. sina pakala e ona kepeken kiwen uta.
mi moku ala e telo nasa.,I don't drink beer.
mani mute li kama tawa ma ni.,A lot of treasure was brought over to this country.
jan Ton li pali e ni.,Tom did that.
Does that feel right?,pilin ni li pona tawa sina anu seme?
Why did you go to the city?,sina tawa ma tomo tan seme?
jan Ton li pali e suwi tawa jan olin ona.,Tom baked a cake for his girlfriend.
The news made her very sad.,sona pi ijo sin li pana e pilin pi ike mute tawa ona.
sina wile tawa lukin e tomo suli ni anu seme?,Do you want to visit this monument?
tenpo ala la mi moku poka jan Ton.,Tom and I never eat together.
ni li pana e kon pi pona mute anu seme?,Doesn't that smell great?
The president of France goes to Japan next month.,tenpo mun kama la jan lawa pi ma Kanse li tawa ma Nijon.
soweli suwi tomo sina li nasa e mi.,Your cat is driving me crazy.
We hope it'll end.,mi wile e ni: ona li pini.
Peace is very important.,utala ala li suli mute.
Is Tom still having trouble sleeping?,jan Ton li ken ala lape anu seme?
I mean no harm.,mi wile pali ala e ijo ike.
mi wile tawa ma Nijon.,I wanna go to Japan.
mi wile e utala ala.,I wish for peace.
"o pini e ona, o open sin e ona.","Turn it off, then turn it back on."
tenpo suno pini la mi pali ala.,I didn't work yesterday.
I think that Toki Pona is good.,mi pilin e ni: toki pona li pona.
They thought they'd be late.,pilin ona la ona li kama lon tenpo kama pi tenpo wile.
Who was here first?,jan seme li kama lon ni lon nanpa wan?
lukin la jan Ton li pilin nasa.,Tom appears disoriented.
mi sona e ni: mi pali ala e ni.,I know that I didn't do that.
Forget I said that.,o weka e ni: mi toki e ni.
She adores her elder brother.,meli ni li olin e mije sama ona. ni li suli. ona li lili.
"tomo tawa li kama pakala suli, la jan pi mute seme li kama moli?",How many people were killed in the accident?
I'm all alone again.,"tenpo sin la, mi taso li lon."
wile pi jan ike li pakala e ijo.,The desires of evil people mess things up.
mama pi jan Ton li meli sona.,Tom's mother was a wise woman.
I'm going again tomorrow.,mi tawa lon tenpo sin lon tenpo suno kama.
jan sama mije pi mama sina li jan seme?,Who's your uncle?
jaki!,Rubbish!
ala li lon poki mi.,I do not have anything in my bag.
"In my opinion, that's very important.",pilin mi la ni li suli.
kili palisa jelo li pona mute tawa uta.,Bananas are delicious.
We struggled with it for a while.,mi mute li utala e ona lon tenpo mute lili.
sina pona lukin lon sitelen ni a!,You look great in this photo!
mi mute o musi kepeken lipu musi.,Let's play cards.
Aaron killed Elizabeth.,jan Alon li moli e jan Elisape.
Isn't he Italian?,ona li jan Italija ala anu seme?
If plants and stones are in the water then this will happen: the plants float and the rocks sink.,kasi en kiwen li lon telo la ni li kama: kasi li lon sewi telo. kiwen li lon anpa telo.
jan Mali li sona tawa lon telo.,Mary knows how to swim.
jan Ton en jan Mewi li moku li toki ala.,Tom and Mary ate in silence.
Hang your clothes outside so that they dry.,"o tawa e len sina tawa ma, tan ni: ona li ken kama telo ala."
ona li jo ala e kulupu mama.,He doesn't have a family.
o sona lon kama ni: sina tawa.,Know before going.
mi pilin e ni: jan Ton li ken ala pali e ni lon ni a: ona li lukin pali e ona.,I don't think that Tom would be able to do that even if he tried.
Who is familiar with a book consisting of one page only?,jan seme li sona e lipu pi lipu wan taso?
We're crazy.,mi tu li nasa.
ona li meli sama pi jan Ton.,She's Tom's sister.
ona li tawa poka ante lon nasin telo.,He crossed the river.
mije lili o kalama ala lon tomo lipu.,"Be silent in the library, boys."
mi sona ala e ni: mije kin li lon ni.,I didn't know that he was there as well.
"meli li pona lukin, li jan sona.",She has both beauty and brains.
These girls are not speaking but singing.,meli lili ni li toki ala li kalama musi uta.
Mary spends hours in the bathroom.,jan Mewi li awen lon tomo telo lon tenpo pi suli mute.
They drove the adults crazy.,ona mute li nasa e jan suli.
mi ken kute pona e sina.,I can hear you well.
It is warmer today than yesterday.,tenpo suno pini li seli lili. tenpo suno ni li seli mute.
Don't disturb her while she is sleeping.,o pini ala e lape ona.
open pi sike ma la nimi li lon.,In the beginning was the Word.
I was an idiot.,mi jan nasa.
jan Ton li kama tomo lon tenpo suno pini ni.,Tom came home yesterday.
ma tomo Tokijo li ma tomo suli.,Tokyo is a big city.
tenpo pimeja pini la telo sewi li anpa. nasin li ike mute tan ni.,The roads were very muddy since it had rained during the night.
nasin ni la jan li wile ala wile pali e kalama mute?,Need one make so much noise?
I wonder why Tom said that.,mi wile sona e ni: jan Ton li toki e ona tan seme?
It was chilly that day.,"tenpo suno ni la, lete lili li lon."
Put your name on this document.,o pana e nimi sina lon lipu ni.
ona li weka e ken ni: jan li toki tawa mi.,They wouldn't let anyone talk to me.
mi wile e sina taso.,I only need you.
o poki ala e jan.,Take no prisoners.
sina wile ala wile e ni: sina jo e mani mute?,Would you like to be rich?
I don't like to argue about politics.,utala pi nasin jan li pona ala tawa mi.
That's interesting. Tell me more about that.,ni li sona musi. o toki mute ni tawa mi.
Different strokes for different folks.,nasin ante li pona tawa jan ante.
"kiwen, lipu, ilo tu.","Rock, paper, scissors."
Your job is to learn diligently.,wile sina li ni: sina kama sona wawa.
mi ken ala toki kepeken toki Inli.,I can't speak English.
What were Tom and Mary doing in Boston?,jan Ton en jan Mewi li pali e seme lon ma tomo Pasen?
sina sama nasa.,You look silly.
Say it clearly in a loud voice.,o toki e ona kepeken toki wawa.
Can I touch your beard?,mi ken pilin e linja sinpin sina anu seme?
He went to Boston by car.,mije ni li tawa ma tomo Pasen kepeken tomo tawa.
How do we know that?,mi mute li sona e ni kepeken nasin seme?
Do you agree or disagree?,ni li pona ala pona tawa sina?
How many sisters do you have?,sina jo e mute seme pi meli sama?
"tenpo ali la, ona li toki kepeken sin a!",He's always making such witty remarks!
"jan San li toki: ""ni li kalama musi pona""","John said, ""That's a beautiful tune."""
I have a lot in common with you.,mi en sina li sama mute.
ijo pi pilin sewi li lon ala.,There's nothing to be proud of.
I'm starting to feel better already.,mi open e ni: mi pilin pona sin.
Tom stayed quiet.,jan Ton li awen kalama ala.
The war is over.,utala li pini.
This is the same hotel that I stayed in three years ago.,open pi sike suno tu wan pini la mi awen lon tomo lape pi jan tawa. ni li tomo lape sama.
The night was cold.,tenpo pimeja li lete.
Tell us where Tom is.,o toki e ni tawa mi: jan Ton li lon seme?
The Lusitania sank in 18 minutes.,"tenpo lili luka luka luka tu wan la, tomo tawa telo Lusitanija li tawa anpa lon telo."
Why weren't you listening?,sina kute ala tan seme?
jan li ala e lipu mi pi jan tawa.,Our passports were cancelled.
Many men died at sea.,jan mute li moli lon telo suli.
soweli tawa li ken tawa ma suli lon tenpo suno mute. soweli ni li wile ala e telo lon tenpo ni.,Camels can travel over hundreds of kilometers over the course of several days without drinking a drop of water.
I didn't want to spend any more time looking for my keys.,mi wile ala awen lukin kama jo e ilo open.
mi lukin toki e ni kin tawa sina.,That's what I was trying to tell you.
"mi ken ala ken tawa tomo telo? ""ken. mi awen lon weka sina lon ni.""","Is it OK if I go to the restroom? ""Sure. I'll wait here for you then."""
pona kute.,Sounds great.
sina wile kama jo e seme tawa ona lon esun?,What do you want to buy for her?
jan Ton li kama sona e toki Kanse. taso ni li ike tawa ona.,Tom had difficulty learning French.
jan Ton en jan Mewi li jo e jan lili mute.,Tom and Mary had three children.
ilo suno pi kama pimeja li pona ala li ike e sina li pakala e selo sina.,Tanning beds are dangerous and can cause cancer.
"tenpo ijo pini la, mama mije li tawa e mi lon tomo pali ona.",Father sometimes took me to his office.
Tom doesn't want to go to Boston.,jan Ton li wile ala tawa ma tomo Pasen.
That's just so sad.,ni li ike mute.
Tom speaks French better than his father does.,"toki Kanse la jan Ton li toki pi pona mute, mama ona li toki pi pona lili."
kili ni li jaki li sin ala.,This apple is old and rotten.
This fish can't be eaten.,kala ni li moku ike.
jan Ton la toki Kanse ona li ike.,Tom doesn't think he's very good at French.
"ona li pali e ni la, jan lawa li wile e mani ona.",He'd be fined if he did that.
mi pilin e ni: nasin musi ale la sitelen tawa li suli mute. jan ken pana e sona pi lon jan kepeken tenpo lili kepeken ni.,"I regard the theatre as the greatest of all art forms, the most immediate way in which a human being can share with another the sense of what it is to be a human being."
"My robot will prepare meals, clean, wash dishes, and perform other household tasks.","ilo mi li pali e moku, li pona e tomo, li telo e supa moku lili, li pali e ijo mute lon tomo."
lawa la mani li kama suli.,"Most importantly, the borrowing rates are going up."
I still have a lot of questions I want to ask you.,mi awen jo e wile sona mute. mi wile toki e ona tawa sina.
That sounds like a smart idea.,ni li ken pali pona tawa kute.
Many users don't know how to use this tool well.,jan kepeken mute li sona ala e nasin kepeken pona pi ilo ni.
jan Ton li pilin musi lili.,Tom smiled.
Everything comes to light in the end.,pini li lon la ale li kama lon suno.
There was no one left but me.,mi taso li awen.
jan ni li jan utala.,That man is a soldier.
Why do you want to learn Portuguese?,sina wile kama sona e toki Potuke tan seme?
sina jo ala jo e telo?,Do you have any drinks?
I don't cook every day.,mi seli ala lon tenpo suno ali.
jan Ton li pona anu seme?,Is Tom good?
ona meli li wile ala toki tan ni.,She doesn't want to talk about it.
Is Gibraltar a country?,ma Sipata li ma ala ma?
I wish I were somebody else.,mi wile e ni: mi jan ante.
The doctor gave Tom a sedative.,jan sona li pana e jaki lape tawa jan Ton.
ona li pilin sama mi.,He agrees with my opinion.
